tourism_id,month,tourists
0,2015-07-01,319356
1,2015-07-01,319356
2,2015-07-01,319356
3,2015-07-01,319356
4,2015-07-01,319356
5,2015-07-01,319356
6,2015-07-01,319356
7,2015-07-01,319356
8,2015-07-01,319356
9,2015-07-01,319356
10,2015-07-01,319356
11,2015-07-01,319356
12,2015-07-01,319356
13,2015-07-01,319356
14,2015-07-01,319356
15,2015-07-01,319356
16,2015-07-01,319356
17,2015-07-01,319356
18,2015-07-01,319356
19,2015-07-01,319356
20,2015-07-01,319356
21,2015-07-01,319356
22,2015-07-01,319356
23,2015-07-01,319356
24,2015-07-01,319356
25,2015-07-01,319356
26,2015-07-01,319356
27,2015-07-01,319356
28,2015-07-01,319356
29,2015-07-01,319356
30,2015-07-01,319356
31,2015-07-01,319356
32,2015-07-01,319356
33,2015-07-01,319356
34,2015-07-01,319356
35,2015-07-01,319356
36,2015-07-01,319356
37,2015-07-01,319356
38,2015-07-01,319356
39,2015-07-01,319356
40,2015-07-01,319356
41,2015-07-01,319356
42,2015-07-01,319356
43,2015-07-01,319356
44,2015-07-01,319356
45,2015-07-01,319356
46,2015-07-01,319356
47,2015-07-01,319356
48,2015-07-01,319356
49,2015-07-01,319356
50,2015-07-01,319356
51,2015-07-01,319356
52,2015-07-01,319356
53,2015-07-01,319356
54,2015-07-01,319356
55,2015-07-01,319356
56,2015-07-01,319356
57,2015-07-01,319356
58,2015-07-01,319356
59,2015-07-01,319356
60,2015-07-01,319356
61,2015-07-01,319356
62,2015-07-01,319356
63,2015-07-01,319356
64,2015-07-01,319356
65,2015-07-01,319356
66,2015-07-01,319356
67,2015-07-01,319356
68,2015-07-01,319356
69,2015-07-01,319356
70,2015-07-01,319356
71,2015-07-01,319356
72,2015-07-01,319356
73,2015-07-01,319356
74,2015-07-01,319356
75,2015-07-01,319356
76,2015-07-01,319356
77,2015-07-01,319356
78,2015-07-01,319356
79,2015-07-01,319356
80,2015-07-01,319356
81,2015-07-01,319356
82,2015-07-01,319356
83,2015-07-01,319356
84,2015-07-01,319356
85,2015-07-01,319356
86,2015-07-01,319356
87,2015-07-01,319356
88,2015-07-01,319356
89,2015-07-01,319356
90,2015-07-01,319356
91,2015-07-01,319356
92,2015-07-01,319356
93,2015-07-01,319356
94,2015-07-01,319356
95,2015-07-01,319356
96,2015-07-01,319356
97,2015-07-01,319356
98,2015-07-01,319356
99,2015-07-01,319356
100,2015-07-01,319356
101,2015-07-01,319356
102,2015-07-01,319356
103,2015-07-01,319356
104,2015-07-01,319356
105,2015-07-01,319356
106,2015-07-01,319356
107,2015-07-01,319356
108,2015-07-01,319356
109,2015-07-01,319356
110,2015-07-01,319356
111,2015-07-01,319356
112,2015-07-01,319356
113,2015-07-01,319356
114,2015-07-01,319356
115,2015-07-01,319356
116,2015-07-01,319356
117,2015-07-01,319356
118,2015-07-01,319356
119,2015-07-01,319356
120,2015-07-01,319356
121,2015-07-01,319356
122,2015-07-01,319356
123,2015-07-01,319356
124,2015-07-01,319356
125,2015-07-01,319356
126,2015-07-01,319356
127,2015-07-01,319356
128,2015-07-01,319356
129,2015-07-01,319356
130,2015-07-01,319356
131,2015-07-01,319356
132,2015-07-01,319356
133,2015-07-01,319356
134,2015-07-01,319356
135,2015-07-01,319356
136,2015-07-01,319356
137,2015-07-01,319356
138,2015-07-01,319356
139,2015-07-01,319356
140,2015-07-01,319356
141,2015-07-01,319356
142,2015-07-01,319356
143,2015-07-01,319356
144,2015-07-01,319356
145,2015-07-01,319356
146,2015-07-01,319356
147,2015-07-01,319356
148,2015-07-01,319356
149,2015-07-01,319356
150,2015-07-01,319356
151,2015-07-01,319356
152,2015-07-01,319356
153,2015-07-01,319356
154,2015-07-01,319356
155,2015-07-01,319356
156,2015-07-01,319356
157,2015-07-01,319356
158,2015-07-01,319356
159,2015-07-01,319356
160,2015-07-01,319356
161,2015-07-01,319356
162,2015-07-01,319356
163,2015-07-01,319356
164,2015-07-01,319356
165,2015-07-01,319356
166,2015-07-01,319356
167,2015-07-01,319356
168,2015-07-01,319356
169,2015-07-01,319356
170,2015-07-01,319356
171,2015-07-01,319356
172,2015-07-01,319356
173,2015-07-01,319356
174,2015-07-01,319356
175,2015-07-01,319356
176,2015-07-01,319356
177,2015-07-01,319356
178,2015-07-01,319356
179,2015-07-01,319356
